Ingested app: 'XCOM\xae: Enemy Within' (row 10006) in  0.0469 seconds
Ingested app: 'DJ Electro Mix Pad' (row 8372) in  0.0468 seconds
Ingested app: 'BC Liquor Stores' (row 5965) in  0.047 seconds
Ingested app: 'CONNECT: The Mobile CX Summit' (row 8067) in  0.0469 seconds
Ingested app: 'Radio BN' (row 6499) in  0.0492 seconds
Ingested app: 'NeuroNation - Focus and Brain Training' (row 745) in  0.0483 seconds
Ingested app: 'Bejeweled Blitz' (row 9159) in  0.0494 seconds
Ingested app: 'EZ Display' (row 10131) in  0.0463 seconds
Ingested app: 'Delivery yogi.' (row 1203) in  0.0482 seconds
Ingested app: 'Robinhood - Investing, No Fees' (row 1136) in  0.0483 seconds
Ingested app: 'G Cloud Apps Backup Key * root' (row 4156) in  0.0482 seconds
Ingested app: 'Gardenscapes' (row 1690) in  0.0423 seconds
Ingested app: 'TRANSFORMERS: Earth Wars' (row 10021) in  0.0469 seconds
Ingested app: 'DB Browser' (row 8200) in  0.0469 seconds
Ingested app: 'R Instructor' (row 4534) in  0.056 seconds
Ingested app: 'CV Maker' (row 7975) in  0.0427 seconds
Ingested app: 'Hostelworld: Hostels & Cheap Hotels Travel App' (row 3213) in  0.0469 seconds
Ingested app: 'Shopkins World!' (row 2140) in  0.0514 seconds
Ingested app: 'Dude Perfect 2' (row 1931) in  0.0469 seconds
Ingested app: 'ExtendedCare Virtual Care Room' (row 2469) in  0.0469 seconds
Ingested app: 'Surely You Quest - Magiswords' (row 7601) in  0.0469 seconds
Ingested app: 'W Box VMS HD' (row 4728) in  0.0495 seconds
Ingested app: 'Kay AH GA' (row 5160) in  0.0469 seconds
Ingested app: 'DV Portfolio' (row 8965) in  0.0469 seconds
Ingested app: 'The translator' (row 9560) in  0.0469 seconds
Ingested app: 'BW Wallpaper' (row 6920) in  0.0526 seconds
Ingested app: 'P9 Launcher - Android\u2122 9.0 P Launcher Style' (row 4476) in  0.0367 seconds
Ingested app: 'Crusaders Quest' (row 7715) in  0.0482 seconds
Ingested app: 'Zombie Catchers' (row 4244) in  0.047 seconds
Ingested app: 'Lunar Calendar Lite' (row 5849) in  0.0468 seconds
Ingested app: 'Daily Mail Online' (row 3754) in  0.047 seconds
Ingested app: 'EY Team Connect' (row 10078) in  0.0469 seconds
Ingested app: 'Squid - Take Notes & Markup PDFs' (row 3541) in  0.0469 seconds
Ingested app: 'DT Practice' (row 8873) in  0.0468 seconds
Ingested app: 'BC browser' (row 5991) in  0.047 seconds
Ingested app: 'R-TYPE' (row 4554) in  0.052 seconds
Ingested app: 'Samsung Health' (row 5596) in  0.0623 seconds
Ingested app: 'Beauty Selfie Camera' (row 103) in  0.0395 seconds
Ingested app: 'Math Quiz Free: Grades K,1,2,3' (row 4311) in  0.0781 seconds
Ingested app: 'Manga AZ - Manga Comic Reader' (row 325) in  0.0502 seconds
Ingested app: 'Doodle Jump' (row 1916) in  0.0503 seconds
Ingested app: 'Union League' (row 10778) in  0.0469 seconds
Ingested app: 'R Programming Language' (row 4531) in  0.0469 seconds
Ingested app: 'DJ Mix Effects Simulator' (row 8464) in  0.0469 seconds
Ingested app: 'FREE CHATS C.L.' (row 7504) in  0.0468 seconds
Ingested app: 'Iqiyi (for tablet)' (row 3669) in  0.0469 seconds
Ingested app: 'Antenna Tool' (row 7146) in  0.057 seconds
Ingested app: 'Trading 212 - Forex, Stocks, CFDs' (row 1145) in  0.046 seconds
Ingested app: 'Textgram - write on photos' (row 4241) in  0.0453 seconds
Ingested app: 'Saunders Comprehensive Review NCLEX-PN Examination' (row 2413) in  0.0438 seconds
Ingested app: 'Wide address pocket prep' (row 2404) in  0.0472 seconds
Ingested app: 'Block Puzzle' (row 1719) in  0.044 seconds
Ingested app: 'ER Injection Simulator: Blood Test Doctor Hospital' (row 9761) in  0.0465 seconds
Ingested app: 'AV Tools Pro' (row 5701) in  0.0464 seconds
Ingested app: 'CBS News' (row 3803) in  0.048 seconds
Ingested app: 'Pepsi Cards DC' (row 8278) in  0.0485 seconds
