Ingested app: 'Water Garden Live Wallpaper' (row 3394) in  0.0403 seconds
Ingested app: 'Z Origins - (Z The Game)' (row 4813) in  0.0402 seconds
Ingested app: 'Fernanfloo' (row 9561) in  0.0402 seconds
Ingested app: 'db Meter - sound level meter with data logging' (row 8242) in  0.0362 seconds
Ingested app: 'The wall' (row 2667) in  0.047 seconds
Ingested app: 'Room Painting Ideas' (row 1494) in  0.047 seconds
Ingested app: 'Angry Birds POP Bubble Shooter' (row 4861) in  0.047 seconds
Ingested app: 'DEER HUNTER CHALLENGE' (row 8418) in  0.047 seconds
Ingested app: 'S\xfcdtirol2Go' (row 7062) in  0.047 seconds
Ingested app: 'KeePass DX Pro' (row 9030) in  0.047 seconds
Ingested app: 'Fun Kid Racing - Motocross' (row 2209) in  0.0469 seconds
Ingested app: 'Horoscopes \u2013 Daily Zodiac Horoscope and Astrology' (row 1570) in  0.0469 seconds
Ingested app: 'QuickPic - Photo Gallery with Google Drive Support' (row 2886) in  0.0469 seconds
Ingested app: 'Thuuz Sports' (row 3076) in  0.0469 seconds
Ingested app: 'RISK: Global Domination' (row 2165) in  0.0469 seconds
Ingested app: 'Temple Run 2' (row 1886) in  0.0468 seconds
Ingested app: 'Adult Glitter Color by Number Book - Sandbox Pages' (row 887) in  0.0469 seconds
Ingested app: 'Hero Fighter X' (row 4777) in  0.0469 seconds
Ingested app: 'Villains vs Superheroes' (row 8270) in  0.0469 seconds
Ingested app: 'BP and Sugar Test Prank' (row 6586) in  0.0469 seconds
Ingested app: 'Call Blocker & Blacklist' (row 8750) in  0.2246 seconds
Ingested app: 'OfficeSuite : Free Office + PDF Editor' (row 293) in  0.2091 seconds
Ingested app: 'Speed Camera Detector - Traffic & Speed Alert' (row 83) in  0.3027 seconds
Ingested app: "We're Working Out - Al Kavadlo" (row 5337) in  0.3027 seconds
Ingested app: 'CA Latam Partners' (row 7084) in  0.334 seconds
Ingested app: 'Six Pack Abs Photo Editor' (row 4888) in  0.3496 seconds
Ingested app: 'Toca Life: Hospital' (row 854) in  0.1309 seconds
Ingested app: 'DM Me - Chat' (row 8543) in  0.1154 seconds
Ingested app: 'H Pack' (row 1590) in  0.0528 seconds
Ingested app: 'ACCEPT CE MARKING' (row 7230) in  0.0567 seconds
Ingested app: 'Mobile Bancomer' (row 1053) in  0.0452 seconds
Ingested app: 'D.C. Driving/Walking Tours' (row 8282) in  0.0492 seconds
Ingested app: 'Interactive NPC DM Tool' (row 8571) in  0.0482 seconds
Ingested app: 'Learn R Language Easy Way' (row 4540) in  0.0443 seconds
Ingested app: 'ClearCareGo Caregiver' (row 2332) in  0.0482 seconds
Ingested app: 'Camera MX - Free Photo & Video Camera' (row 2905) in  0.0402 seconds
Ingested app: 'Expedia Hotels, Flights & Car Rental Travel Deals' (row 3175) in  0.0454 seconds
Ingested app: 'Talking Tom Cat' (row 4247) in  0.0494 seconds
Ingested app: 'Mercato foot by Maxifoot' (row 3004) in  0.0452 seconds
